Date,Region,Country,NO2_mean_mol_m2
2019-04-23,Europe,Austria,1.5593132992356244e-05
2019-04-24,Europe,Austria,2.49582561375194e-05
2019-04-25,Europe,Austria,2.342512433821537e-05
2019-04-26,Europe,Austria,1.9948639578117348e-05
2019-04-27,Europe,Austria,1.6024557326657427e-05
2019-04-28,Europe,Austria,2.779206897890383e-05
2019-04-29,Europe,Austria,1.6310910934561724e-05
2019-04-30,Europe,Austria,1.9279873936731494e-05
2019-05-01,Europe,Austria,3.250289343134507e-05
2019-05-02,Europe,Austria,3.925442212743349e-05
2019-05-03,Europe,Austria,1.4899434727444595e-05
2019-05-04,Europe,Austria,1.459997866629498e-05
2019-05-05,Europe,Austria,9.171861211368418e-06
2019-05-06,Europe,Austria,1.088218644902122e-05
2019-05-07,Europe,Austria,1.4362911130856823e-05
2019-05-08,Europe,Austria,2.978658345953205e-05
2019-05-09,Europe,Austria,2.8931864416788723e-06
2019-05-10,Europe,Austria,1.832425784097795e-05
2019-05-11,Europe,Austria,2.021574346066426e-05
2019-05-12,Europe,Austria,1.2401035068916306e-05
2019-05-13,Europe,Austria,1.34440950634134e-05
2019-05-14,Europe,Austria,1.9338303644450448e-05
2019-05-15,Europe,Austria,1.0043980267612729e-05
2019-05-16,Europe,Austria,1.0864226984110444e-05
2019-05-17,Europe,Austria,1.5818862432712126e-05
2019-05-18,Europe,Austria,1.8720456468641725e-05
2019-05-19,Europe,Austria,1.3858238525271165e-05
2019-05-20,Europe,Austria,1.6647873632380988e-05
2019-05-21,Europe,Austria,9.055378713263198e-06
2019-05-22,Europe,Austria,1.5002901983633549e-05
2019-05-23,Europe,Austria,2.028205006349699e-05
2019-05-24,Europe,Austria,2.612702820753633e-05
2019-05-25,Europe,Austria,2.9254102262955e-05
2019-05-26,Europe,Austria,2.971775815830777e-05
2019-05-27,Europe,Austria,1.168733069789596e-05
2019-05-28,Europe,Austria,1.349041421549368e-05
2019-05-29,Europe,Austria,
2019-05-30,Europe,Austria,2.9427646182751185e-05
2019-05-31,Europe,Austria,2.3196191314693345e-05
2019-06-01,Europe,Austria,1.8229349481240653e-05
2019-06-02,Europe,Austria,1.811321862354236e-05
2019-06-03,Europe,Austria,2.329835756980911e-05
2019-06-04,Europe,Austria,2.078810168531369e-05
2019-06-05,Europe,Austria,2.727404651087009e-05
2019-06-06,Europe,Austria,1.5776062325443854e-05
2019-06-07,Europe,Austria,2.230468050360737e-05
2019-06-08,Europe,Austria,2.4246489944980265e-05
2019-06-09,Europe,Austria,1.967632826096039e-05
2019-06-10,Europe,Austria,1.681926359112237e-05
2019-06-11,Europe,Austria,1.7405451340051714e-05
2019-06-12,Europe,Austria,1.2937612758802368e-05
2019-06-13,Europe,Austria,2.0759582568810977e-05
2019-06-14,Europe,Austria,1.7265262067049002e-05
2019-06-15,Europe,Austria,1.8358672545037662e-05
2019-06-16,Europe,Austria,1.329295146714968e-05
2019-06-17,Europe,Austria,2.122412622862072e-05
2019-06-18,Europe,Austria,2.272471294334662e-05
2019-06-19,Europe,Austria,2.544620272600632e-05
2019-06-20,Europe,Austria,1.956051756982237e-05
2019-06-21,Europe,Austria,1.8838286244976068e-05
2019-06-22,Europe,Austria,2.698981160888637e-05
2019-06-23,Europe,Austria,2.670617177497545e-05
2019-06-24,Europe,Austria,2.5265573813410317e-05
2019-06-25,Europe,Austria,2.2687091148614496e-05
2019-06-26,Europe,Austria,2.751055645652608e-05
2019-06-27,Europe,Austria,3.0024652139555227e-05
2019-06-28,Europe,Austria,2.494203696534371e-05
2019-06-29,Europe,Austria,2.7935716193841157e-05
2019-06-30,Europe,Austria,2.7988991069945112e-05
2019-07-01,Europe,Austria,3.151014324119117e-05
2019-07-02,Europe,Austria,2.66492351746444e-05
2019-07-03,Europe,Austria,2.77393010598784e-05
2019-07-04,Europe,Austria,2.0757625012199684e-05
2019-07-05,Europe,Austria,2.3642495644134088e-05
2019-07-06,Europe,Austria,1.9841458486245414e-05
2019-07-07,Europe,Austria,2.343850839984241e-05
2019-07-08,Europe,Austria,2.044673511735654e-05
2019-07-09,Europe,Austria,2.187917446709229e-05
2019-07-10,Europe,Austria,1.4269722167754525e-05
2019-07-11,Europe,Austria,2.25882718545642e-05
2019-07-12,Europe,Austria,1.7876701145954582e-05
2019-07-13,Europe,Austria,1.662039490094399e-05
2019-07-14,Europe,Austria,2.109434824316552e-05
2019-07-15,Europe,Austria,
2019-07-16,Europe,Austria,2.0872808295092845e-05
2019-07-17,Europe,Austria,1.9760453073429123e-05
2019-07-18,Europe,Austria,2.296875099896912e-05
2019-07-19,Europe,Austria,2.22812652283035e-05
2019-07-20,Europe,Austria,2.202475720530305e-05
2019-07-21,Europe,Austria,2.1881322156774625e-05
2019-07-22,Europe,Austria,1.8110803930625142e-05
2019-07-23,Europe,Austria,2.3507977177190947e-05
2019-07-24,Europe,Austria,2.299267232065956e-05
2019-07-25,Europe,Austria,2.2549148154265545e-05
2019-07-26,Europe,Austria,2.512668227048295e-05
2019-07-27,Europe,Austria,2.4197813395141805e-05
2019-07-28,Europe,Austria,3.076574335461192e-05
2019-07-29,Europe,Austria,2.477874759367194e-05
2019-07-30,Europe,Austria,2.9097549554245832e-05
2019-07-31,Europe,Austria,2.2943361771994445e-05
2019-08-01,Europe,Austria,2.0930163602309662e-05
2019-08-02,Europe,Austria,2.317929317279876e-05
2019-08-03,Europe,Austria,2.371411269873933e-05
2019-08-04,Europe,Austria,1.94838238560389e-05
2019-08-05,Europe,Austria,2.3636515165351623e-05
2019-08-06,Europe,Austria,2.5117355128110956e-05
2019-08-07,Europe,Austria,2.4070201647715925e-05
2019-08-08,Europe,Austria,1.907479490435985e-05
2019-08-09,Europe,Austria,2.164353621858883e-05
2019-08-10,Europe,Austria,2.481190906105658e-05
2019-08-11,Europe,Austria,2.8460230863643695e-05
2019-08-12,Europe,Austria,2.7892759924471284e-05
2019-08-13,Europe,Austria,2.5663681773623283e-05
2019-08-14,Europe,Austria,1.5275429051887418e-05
2019-08-15,Europe,Austria,1.069683042348172e-05
2019-08-16,Europe,Austria,1.5981651796214232e-05
2019-08-17,Europe,Austria,2.181561908272588e-05
2019-08-18,Europe,Austria,2.5230968984017235e-05
2019-08-19,Europe,Austria,2.6684585141260356e-05
2019-08-20,Europe,Austria,2.308667500082211e-05
2019-08-21,Europe,Austria,1.4180572019352712e-05
2019-08-22,Europe,Austria,2.0917293171679936e-05
2019-08-23,Europe,Austria,2.779992027702464e-05
2019-08-24,Europe,Austria,2.5797647559859908e-05
2019-08-25,Europe,Austria,2.7094171178243423e-05
2019-08-26,Europe,Austria,2.530268534127192e-05
2019-08-27,Europe,Austria,2.800723748894072e-05
2019-08-28,Europe,Austria,2.7594480953135696e-05
2019-08-29,Europe,Austria,2.969607425034661e-05
2019-08-30,Europe,Austria,2.3451074393393938e-05
2019-08-31,Europe,Austria,2.8423286642104264e-05
2019-09-01,Europe,Austria,2.6539820939594764e-05
2019-09-02,Europe,Austria,2.9388165939401485e-05
2019-09-03,Europe,Austria,2.428845252922201e-05
2019-09-04,Europe,Austria,2.3826342156305257e-05
2019-09-05,Europe,Austria,2.977030021534692e-05
2019-09-06,Europe,Austria,5.309768833141682e-05
2019-09-07,Europe,Austria,
2019-09-08,Europe,Austria,3.21211850962872e-05
2019-09-09,Europe,Austria,3.702292962915381e-05
2019-09-10,Europe,Austria,5.4934755252852384e-05
2019-09-11,Europe,Austria,2.534490396629836e-05
2019-09-12,Europe,Austria,2.63750359974328e-05
2019-09-13,Europe,Austria,3.437681846869619e-05
2019-09-14,Europe,Austria,3.769280119913168e-05
2019-09-15,Europe,Austria,2.614731969959294e-05
2019-09-16,Europe,Austria,2.727841972386473e-05
2019-09-17,Europe,Austria,2.097142099850307e-05
2019-09-18,Europe,Austria,2.5549003652973275e-05
2019-09-19,Europe,Austria,1.8464826496200287e-05
2019-09-20,Europe,Austria,2.656413830307491e-05
2019-09-21,Europe,Austria,2.682795914962004e-05
2019-09-22,Europe,Austria,3.177376731234684e-05
2019-09-23,Europe,Austria,5.908086375653415e-05
2019-09-24,Europe,Austria,3.2204219154690664e-05
2019-09-25,Europe,Austria,2.278044707900593e-05
2019-09-26,Europe,Austria,1.8417351455524128e-05
2019-09-27,Europe,Austria,2.968418336488822e-05
2019-09-28,Europe,Austria,1.7456444677162558e-05
2019-09-29,Europe,Austria,2.5819299896797182e-05
2019-09-30,Europe,Austria,3.0514574559378224e-05
2019-10-01,Europe,Austria,2.5795486688957645e-05
2019-10-02,Europe,Austria,1.7462228158773958e-05
2019-10-03,Europe,Austria,1.8747753698819937e-05
2019-10-04,Europe,Austria,1.996496124819944e-05
2019-10-05,Europe,Austria,2.705634403036825e-05
2019-10-06,Europe,Austria,3.1686158293429127e-05
2019-10-07,Europe,Austria,2.555368219694608e-05
2019-10-08,Europe,Austria,2.9580668601852327e-05
2019-10-09,Europe,Austria,2.9049009724532085e-05
2019-10-10,Europe,Austria,2.274876037865286e-05
2019-10-11,Europe,Austria,3.7396765170535385e-05
2019-10-12,Europe,Austria,2.3245909196854643e-05
2019-10-13,Europe,Austria,2.914748532040992e-05
2019-10-14,Europe,Austria,2.8967689212184488e-05
2019-10-15,Europe,Austria,2.9833901970011945e-05
2019-10-16,Europe,Austria,2.2963353255303814e-05
2019-10-17,Europe,Austria,3.3893692752356594e-05
2019-10-18,Europe,Austria,4.592430846853106e-05
2019-10-19,Europe,Austria,3.16580132364316e-05
2019-10-20,Europe,Austria,2.789918157548809e-05
2019-10-21,Europe,Austria,5.3109671104410246e-05
2019-10-22,Europe,Austria,6.361867046550278e-05
2019-10-23,Europe,Austria,3.4013621595886547e-05
2019-10-24,Europe,Austria,2.480831302498916e-05
2019-10-25,Europe,Austria,5.087451552104349e-05
2019-10-26,Europe,Austria,2.8662858096225573e-05
2019-10-27,Europe,Austria,2.963452073915604e-05
2019-10-28,Europe,Austria,8.19505360471906e-05
2019-10-29,Europe,Austria,4.049765905267925e-05
2019-10-30,Europe,Austria,3.653972141125785e-05
2019-10-31,Europe,Austria,2.81660160420244e-05
2019-11-01,Europe,Austria,2.9695281424742698e-05
2019-11-02,Europe,Austria,1.8713019117556068e-05
2019-11-03,Europe,Austria,5.568559240419658e-05
2019-11-04,Europe,Austria,3.895232560063838e-05
2019-11-05,Europe,Austria,3.1323247515000085e-05
2019-11-06,Europe,Austria,3.120639651683341e-05
2019-11-07,Europe,Austria,1.9923573642277247e-05
2019-11-08,Europe,Austria,4.456072987207249e-05
2019-11-09,Europe,Austria,3.4455604956523164e-05
2019-11-10,Europe,Austria,1.7924736585844825e-05
2019-11-11,Europe,Austria,2.824812903084002e-05
2019-11-12,Europe,Austria,
2019-11-13,Europe,Austria,1.2463138723515864e-05
2019-11-14,Europe,Austria,1.9977851612034623e-05
2019-11-15,Europe,Austria,4.014766604616698e-05
2019-11-16,Europe,Austria,2.6336141210897694e-05
2019-11-17,Europe,Austria,3.7678097891516806e-05
2019-11-18,Europe,Austria,2.7003451461825652e-05
2019-11-19,Europe,Austria,3.583125094566286e-05
2019-11-20,Europe,Austria,1.1862136625234264e-05
2019-11-21,Europe,Austria,2.0410590818882255e-05
2019-11-22,Europe,Austria,3.0190522955756408e-05
2019-11-23,Europe,Austria,3.058292657742368e-05
2019-11-24,Europe,Austria,5.4180103218364086e-05
2019-11-25,Europe,Austria,4.8281670419959945e-05
2019-11-26,Europe,Austria,3.903487826587606e-05
2019-11-27,Europe,Austria,5.418201919891049e-05
2019-11-28,Europe,Austria,2.1902664408488765e-05
2019-11-29,Europe,Austria,3.300513663876482e-05
2019-11-30,Europe,Austria,2.958822146093651e-05
2019-12-01,Europe,Austria,4.261036717902317e-05
2019-12-02,Europe,Austria,2.116944543421351e-05
2019-12-03,Europe,Austria,2.712606255812436e-05
2019-12-04,Europe,Austria,4.832025512487381e-05
2019-12-05,Europe,Austria,3.204342722422651e-05
2019-12-06,Europe,Austria,2.064604165298624e-05
2019-12-07,Europe,Austria,1.6573099792123416e-05
2019-12-08,Europe,Austria,1.5311083410742475e-05
2019-12-09,Europe,Austria,-3.6876154719737935e-06
2019-12-10,Europe,Austria,2.108195216964018e-05
2019-12-11,Europe,Austria,4.3414216778358944e-05
2019-12-12,Europe,Austria,4.202704490702473e-05
2019-12-13,Europe,Austria,7.604641743164952e-05
2019-12-14,Europe,Austria,3.659708822468264e-05
2019-12-15,Europe,Austria,4.2324445416506985e-05
2019-12-16,Europe,Austria,7.59428188810811e-05
2019-12-17,Europe,Austria,2.346907657158328e-05
2019-12-18,Europe,Austria,5.0886560276499607e-05
2019-12-19,Europe,Austria,3.266953915725664e-05
2019-12-20,Europe,Austria,3.837662291763632e-05
2019-12-21,Europe,Austria,1.0026702096381848e-05
2019-12-22,Europe,Austria,4.612732086807179e-05
2019-12-23,Europe,Austria,1.952369302374935e-06
2019-12-24,Europe,Austria,2.9627118038278583e-05
2019-12-25,Europe,Austria,3.11389224630383e-05
2019-12-26,Europe,Austria,1.8946909373355475e-05
2019-12-27,Europe,Austria,2.043781210268141e-05
2019-12-28,Europe,Austria,1.3757580096317896e-05
2019-12-29,Europe,Austria,2.0762665770887705e-05
2019-12-30,Europe,Austria,2.4023842260270985e-05
2019-12-31,Europe,Austria,5.088954897541008e-05
2020-01-01,Europe,Austria,4.659352816788467e-05
2020-01-02,Europe,Austria,4.4322514758863946e-05
2020-01-03,Europe,Austria,6.427811284333974e-05
2020-01-04,Europe,Austria,6.678187298705864e-05
2020-01-05,Europe,Austria,3.0902179176587165e-05
2020-01-06,Europe,Austria,4.009662248108798e-05
2020-01-07,Europe,Austria,6.04573577174872e-05
2020-01-08,Europe,Austria,4.159896078575639e-05
2020-01-09,Europe,Austria,4.646782396918452e-05
2020-01-10,Europe,Austria,5.662896784404646e-05
2020-01-11,Europe,Austria,3.5741389270308264e-05
2020-01-12,Europe,Austria,4.383954536827658e-05
2020-01-13,Europe,Austria,6.670642976675804e-05
2020-01-14,Europe,Austria,3.3461749057107245e-05
2020-01-15,Europe,Austria,4.3796791651381925e-05
2020-01-16,Europe,Austria,4.2380811124342434e-05
2020-01-17,Europe,Austria,4.26687498882971e-05
2020-01-18,Europe,Austria,9.840213886801278e-06
2020-01-19,Europe,Austria,1.930617604224396e-05
2020-01-20,Europe,Austria,2.913813401479535e-05
2020-01-21,Europe,Austria,2.8903998158188693e-05
2020-01-22,Europe,Austria,3.170849642894053e-05
2020-01-23,Europe,Austria,3.667243575207077e-05
2020-01-24,Europe,Austria,3.787062173339454e-05
2020-01-25,Europe,Austria,4.2497167664367046e-05
2020-01-26,Europe,Austria,1.2157946026787458e-05
2020-01-27,Europe,Austria,1.971297225395455e-05
2020-01-28,Europe,Austria,1.465466857886172e-05
2020-01-29,Europe,Austria,1.834466477283797e-05
2020-01-30,Europe,Austria,2.268625289239845e-05
2020-01-31,Europe,Austria,1.6202465950712813e-05
2020-02-01,Europe,Austria,3.093793056412157e-05
2020-02-02,Europe,Austria,2.8587061813602078e-05
2020-02-03,Europe,Austria,3.3437140524770475e-05
2020-02-04,Europe,Austria,2.1540919340247823e-05
2020-02-05,Europe,Austria,2.3640616631582496e-05
2020-02-06,Europe,Austria,2.005096084797362e-05
2020-02-07,Europe,Austria,2.8840940060293885e-05
2020-02-08,Europe,Austria,3.668752266550359e-05
2020-02-09,Europe,Austria,3.698380895489497e-05
2020-02-10,Europe,Austria,4.010207906248341e-05
2020-02-11,Europe,Austria,1.8619383584393984e-05
2020-02-12,Europe,Austria,1.9818276988136304e-05
2020-02-13,Europe,Austria,3.75573312389012e-05
2020-02-14,Europe,Austria,2.8347152165203314e-05
2020-02-15,Europe,Austria,4.1087867654846186e-05
2020-02-16,Europe,Austria,3.639248510405944e-05
2020-02-17,Europe,Austria,6.477946032597368e-05
2020-02-18,Europe,Austria,2.501544448536322e-05
2020-02-19,Europe,Austria,1.1186569179237112e-05
2020-02-20,Europe,Austria,2.5658774332839436e-05
2020-02-21,Europe,Austria,1.8737216775010465e-05
2020-02-22,Europe,Austria,4.032079823139429e-05
2020-02-23,Europe,Austria,1.1040860164862974e-05
2020-02-24,Europe,Austria,1.7629616334293765e-05
2020-02-25,Europe,Austria,4.339086271164329e-05
2020-02-26,Europe,Austria,4.52209055855772e-06
2020-02-27,Europe,Austria,2.524971516286471e-05
2020-02-28,Europe,Austria,2.1795830963005877e-05
2020-02-29,Europe,Austria,2.1437857444882865e-05
2020-03-01,Europe,Austria,1.804844063344132e-05
2020-03-02,Europe,Austria,2.431563479211324e-05
2020-03-03,Europe,Austria,2.677544507971565e-05
2020-03-04,Europe,Austria,1.625875650904612e-05
2020-03-05,Europe,Austria,4.144025517122883e-05
2020-03-06,Europe,Austria,8.732868341383688e-06
2020-03-07,Europe,Austria,1.2804134696136389e-05
2020-03-08,Europe,Austria,2.16621167138698e-05
2020-03-09,Europe,Austria,3.3305854121772204e-05
2020-03-10,Europe,Austria,3.96298218318461e-05
2020-03-11,Europe,Austria,1.9173996071653555e-05
2020-03-12,Europe,Austria,2.5366954773201853e-05
2020-03-13,Europe,Austria,2.4760242327590672e-05
2020-03-14,Europe,Austria,2.0122334222238e-05
2020-03-15,Europe,Austria,2.4639632177830062e-05
2020-03-16,Europe,Austria,2.910074007805105e-05
2020-03-17,Europe,Austria,1.4749351179552922e-05
2020-03-18,Europe,Austria,2.6305504097588457e-05
2020-03-19,Europe,Austria,2.8946420479898425e-05
2020-03-20,Europe,Austria,2.3507019431077844e-05
2020-03-21,Europe,Austria,1.6744699239600447e-05
2020-03-22,Europe,Austria,1.6861897511085657e-05
2020-03-23,Europe,Austria,2.081812694477723e-05
2020-03-24,Europe,Austria,3.167175405483627e-05
2020-03-25,Europe,Austria,2.2530213065616023e-05
2020-03-26,Europe,Austria,2.183560789042924e-05
2020-03-27,Europe,Austria,1.4015338297430829e-05
2020-03-28,Europe,Austria,2.3406626227987403e-05
2020-03-29,Europe,Austria,1.9176226071400966e-05
2020-03-30,Europe,Austria,2.571048476791212e-05
2020-03-31,Europe,Austria,1.4938923805325915e-05
2020-04-01,Europe,Austria,2.5862908947167035e-05
2020-04-02,Europe,Austria,2.8231271853802546e-05
2020-04-03,Europe,Austria,3.6758868132132265e-05
2020-04-04,Europe,Austria,1.7620861200322014e-05
2020-04-05,Europe,Austria,9.891166320353014e-06
2020-04-06,Europe,Austria,2.319965546975152e-05
2020-04-07,Europe,Austria,2.0934617987690528e-05
2020-04-08,Europe,Austria,2.392758886144096e-05
2020-04-09,Europe,Austria,2.6750909987269355e-05
2020-04-10,Europe,Austria,1.9367747583675004e-05
2020-04-11,Europe,Austria,2.206089455038301e-05
2020-04-12,Europe,Austria,2.2099976346167864e-05
2020-04-13,Europe,Austria,1.24058154863768e-05
2020-04-14,Europe,Austria,1.8092643929269595e-05
2020-04-15,Europe,Austria,2.8639259180518e-05
2020-04-16,Europe,Austria,3.4497400314392575e-05
2020-04-17,Europe,Austria,2.658502880067319e-05
2020-04-18,Europe,Austria,2.7520871375322545e-05
2020-04-19,Europe,Austria,1.9512273127397142e-05
2020-04-20,Europe,Austria,3.139861495615835e-05
2020-04-21,Europe,Austria,2.656294940808097e-05
2020-04-22,Europe,Austria,2.302001180243372e-05
2020-04-23,Europe,Austria,2.6285625912498453e-05
2020-04-24,Europe,Austria,2.708710147794737e-05
2020-04-25,Europe,Austria,2.3583048952943703e-05
2020-04-26,Europe,Austria,2.262669598185116e-05
2020-04-27,Europe,Austria,2.4514384204983847e-05
2020-04-28,Europe,Austria,3.012911691539516e-05
2020-04-29,Europe,Austria,1.445931152406167e-05
2020-04-30,Europe,Austria,2.5132344525224822e-05
2020-05-01,Europe,Austria,9.8562873047046e-06
2020-05-02,Europe,Austria,1.5373954178856665e-05
2020-05-03,Europe,Austria,2.116744675493786e-05
2020-05-04,Europe,Austria,3.3251330267071806e-05
2020-05-05,Europe,Austria,3.3643548571728004e-05
2020-05-06,Europe,Austria,2.0776836072228257e-05
2020-05-07,Europe,Austria,2.747029118488921e-05
2020-05-08,Europe,Austria,2.8781672234881294e-05
2020-05-09,Europe,Austria,2.0574097669782923e-05
2020-05-10,Europe,Austria,1.940006262077274e-05
2020-05-11,Europe,Austria,2.4449289128621123e-05
2020-05-12,Europe,Austria,2.1038049169324263e-05
2020-05-13,Europe,Austria,4.0307848570256494e-05
2020-05-14,Europe,Austria,2.023625867245345e-05
2020-05-15,Europe,Austria,2.9299440220556116e-05
2020-05-16,Europe,Austria,2.670328010285117e-05
2020-05-17,Europe,Austria,2.386156403153849e-05
2020-05-18,Europe,Austria,2.3491337056538156e-05
2020-05-19,Europe,Austria,2.735263041730996e-05
2020-05-20,Europe,Austria,2.0941006806732995e-05
2020-05-21,Europe,Austria,1.884244254673094e-05
2020-05-22,Europe,Austria,2.6085419100161783e-05
2020-05-23,Europe,Austria,2.020362310015688e-05
2020-05-24,Europe,Austria,-2.298193147933283e-06
2020-05-25,Europe,Austria,2.1741168650663307e-05
2020-05-26,Europe,Austria,2.119996228115252e-05
2020-05-27,Europe,Austria,2.566178756532592e-05
2020-05-28,Europe,Austria,3.093462764690572e-05
2020-05-29,Europe,Austria,1.5003513980379405e-05
2020-05-30,Europe,Austria,1.923053630503669e-05
2020-05-31,Europe,Austria,1.4158770259426671e-05
2020-06-01,Europe,Austria,1.4309773350635474e-05
2020-06-02,Europe,Austria,1.46792313344417e-05
2020-06-03,Europe,Austria,1.689212346536726e-05
2020-06-04,Europe,Austria,2.0217640817563208e-05
2020-06-05,Europe,Austria,2.262354427062748e-05
2020-06-06,Europe,Austria,2.137313167788622e-05
2020-06-07,Europe,Austria,2.1252785942171013e-05
2020-06-08,Europe,Austria,2.615460016158202e-05
2020-06-09,Europe,Austria,2.3816478799007343e-05
2020-06-10,Europe,Austria,1.4087125183850976e-05
2020-06-11,Europe,Austria,1.6480357320805616e-05
